LatestNews_timestamp,title,link
38 Min Ago,India’s trade with China balloons as exports to U.S. decline,https://www.cnbc.com/2026/01/16/india-trade-us-china-exports-trump-tariffs.html
42 Min Ago,TSMC is set to expand its $165 billion U.S. investment — here’s what we know,https://www.cnbc.com/2026/01/16/tsmcs-arizona-chip-expansion-isnt-done-after-us-investment-cfo.html
2 Hours Ago,"Venezuela oil fetching 30% higher price, U.S. energy chief says, after first sale worth $500 million",https://www.cnbc.com/2026/01/16/venezuela-oil-takeover-us-shipment-trump-.html
3 Hours Ago,TSMC earnings draw investors' eyes back to AI,https://www.cnbc.com/2026/01/16/cnbc-daily-open-tsmc-earnings-draw-investors-eyes-back-to-ai.html
4 Hours Ago,Coinbase CEO says key crypto vote can be rescheduled after 11th hour cancellation,https://www.cnbc.com/2026/01/15/coinbase-ceo-says-key-crypto-vote-can-be-rescheduled-after-11th-hour-cancellation.html
4 Hours Ago,Friday's big stock stories: What’s likely to move the market in the next session,https://www.cnbc.com/2026/01/15/fridays-big-stock-stories-whats-likely-to-move-the-market.html
4 Hours Ago,Asia markets trade mixed; chip shares in focus after U.S-Taiwan deal,https://www.cnbc.com/2026/01/16/asia-markets-live-friday-nikkei-225-hang-seng-index-kospi-taiwan-trade-deal-chips-banks.html
4 Hours Ago,A nutrition coach shares 5 easy ways to start fibermaxxing in 2026,https://www.cnbc.com/2026/01/15/a-nutrition-coach-shares-5-easy-ways-to-start-fibermaxxing-in-2026.html
4 Hours Ago,Why Jim Cramer is bullish on Goldman Sachs and Morgan Stanley,https://www.cnbc.com/2026/01/15/-jim-cramer-bullish-goldman-sachs-morgan-stanley.html
4 Hours Ago,OpenAI to investors: Expect 'deliberately outlandish' claims from Musk,https://www.cnbc.com/2026/01/15/openai-to-investors-expect-deliberately-outlandish-claims-from-musk.html
4 Hours Ago,Cramer's Lightning Round: Banco Santander is a buy,https://www.cnbc.com/2026/01/15/cramers-lightning-round-banco-santander-is-a-buy.html
5 Hours Ago,"China just 'months' behind U.S. AI models, Google DeepMind CEO says",https://www.cnbc.com/2026/01/16/google-deepmind-china-ai-demis-hassabis.html
5 Hours Ago,"Taiwan Semiconductor's record quarter renewed investors' faith in AI stocks, Jim Cramer says",https://www.cnbc.com/2026/01/15/jim-cramer-taiwan-semiconductors-ai-stocks.html
5 Hours Ago,Stock futures are little changed after rally in banks and tech lifts major averages,https://www.cnbc.com/2026/01/15/stock-market-today-live-updates.html
6 Hours Ago,"Wikipedia parent partners with Amazon, Meta, Perplexity on AI access",https://www.cnbc.com/2026/01/15/wikipedia-amazon-meta-perplexity-ai.html
6 Hours Ago,BlackRock's blowout earnings pass our test with flying colors. What about 2026?,https://www.cnbc.com/2026/01/15/blackrocks-blowout-earnings-pass-our-test-with-flying-colors-what-about-2026.html
7 Hours Ago,Cloudflare acquires AI data marketplace Human Native,https://www.cnbc.com/2026/01/15/cloudflare-ai-human-native-acquisition.html
7 Hours Ago,Trump pitches direct payments for health care. What policy experts say about it,https://www.cnbc.com/2026/01/15/trump-direct-payments-health-care.html
8 Hours Ago,AI startup Replit launches feature to vibe code mobile apps,https://www.cnbc.com/2026/01/15/ai-startup-replit-launches-feature-to-vibe-code-mobile-apps.html
8 Hours Ago,"Why a diversified approach to income is ‘essential’ right now, according to UBS",https://www.cnbc.com/2026/01/15/a-diversified-approach-to-income-is-essential-now-according-to-ubs.html
8 Hours Ago,The company behind chip leaders like Nvidia just lifted its spending forecast,https://www.cnbc.com/2026/01/15/ai-trade-the-company-behind-chip-leaders-like-nvidia-raised-its-spending-forecast.html
9 Hours Ago,This pharma stock just got whacked — there's still a major catalyst ahead,https://www.cnbc.com/2026/01/15/this-pharma-stock-just-got-whacked-theres-still-a-major-catalyst-ahead.html
9 Hours Ago,Taiwan will invest $250 billion in U.S. chipmaking under new trade deal,https://www.cnbc.com/2026/01/15/us-taiwan-chips-deal-china.html
9 Hours Ago,We're raising our price target on Goldman Sachs after strong but noisy quarter,https://www.cnbc.com/2026/01/15/were-raising-our-price-target-on-goldman-sachs-after-strong-noisy-q4.html
9 Hours Ago,College students and teens could be fueling the prediction markets boom,https://www.cnbc.com/2026/01/15/prediction-markets-college-students-teens-could-be-fueling-the-boom.html
10 Hours Ago,Goldman CEO is looking at how his bank can get involved in prediction markets,https://www.cnbc.com/2026/01/15/goldman-sachs-ceo-looks-at-how-to-get-involved-in-prediction-markets.html
10 Hours Ago,Chip stocks pop after TSMC's earnings beat boosts confidence in industrywide demand,https://www.cnbc.com/2026/01/15/chip-stocks-nvidia-amd-pop-after-tsmcs-earnings-beat-lifts-confidence.html
10 Hours Ago,3M heads into earnings next Tuesday exemplifying market shift to value,https://www.cnbc.com/2026/01/15/3m-heads-into-fourth-quarter-earnings-tuesday-with-plenty-of-room-to-rally.html
10 Hours Ago,Empire Wind to resume construction after judge lifts Trump suspension,https://www.cnbc.com/2026/01/15/judge-allows-equinor-empire-wind-construction-trump.html
10 Hours Ago,Retail investors have a new favorite trade,https://www.cnbc.com/2026/01/15/retail-investors-have-a-new-favorite-trade.html
