career_cluster,sub_cluster,code,occupation,url
Advanced Manufacturing,Engineering,17-2011.00,Aerospace Engineers,https://www.onetonline.org/link/summary/17-2011.00
Advanced Manufacturing,Engineering,19-1021.00,Biochemists and Biophysicists,https://www.onetonline.org/link/summary/19-1021.00
Advanced Manufacturing,Engineering,17-2031.00,Bioengineers and Biomedical Engineers,https://www.onetonline.org/link/summary/17-2031.00
Advanced Manufacturing,Engineering,19-2031.00,Chemists,https://www.onetonline.org/link/summary/19-2031.00
Advanced Manufacturing,Engineering,17-2112.01,Human Factors Engineers and Ergonomists,https://www.onetonline.org/link/summary/17-2112.01
Advanced Manufacturing,Engineering,17-2112.00,Industrial Engineers,https://www.onetonline.org/link/summary/17-2112.00
Advanced Manufacturing,Engineering,17-2112.03,Manufacturing Engineers,https://www.onetonline.org/link/summary/17-2112.03
Advanced Manufacturing,Engineering,19-2032.00,Materials Scientists,https://www.onetonline.org/link/summary/19-2032.00
Advanced Manufacturing,Engineering,49-9063.00,Musical Instrument Repairers and Tuners,https://www.onetonline.org/link/summary/49-9063.00
Advanced Manufacturing,Engineering,19-4051.02,Nuclear Monitoring Technicians,https://www.onetonline.org/link/summary/19-4051.02
Advanced Manufacturing,Engineering,51-2061.00,Timing Device Assemblers and Adjusters,https://www.onetonline.org/link/summary/51-2061.00
Advanced Manufacturing,Engineering,17-2112.02,Validation Engineers,https://www.onetonline.org/link/summary/17-2112.02
Advanced Manufacturing,Engineering,49-9064.00,Watch and Clock Repairers,https://www.onetonline.org/link/summary/49-9064.00
Advanced Manufacturing,Engineering; Production & Automation,17-2141.02,Automotive Engineers,https://www.onetonline.org/link/summary/17-2141.02
Advanced Manufacturing,Engineering; Production & Automation,51-8091.00,Chemical Plant and System Operators,https://www.onetonline.org/link/summary/51-8091.00
Advanced Manufacturing,Engineering; Production & Automation,19-4031.00,Chemical Technicians,https://www.onetonline.org/link/summary/19-4031.00
Advanced Manufacturing,Engineering; Production & Automation,17-3019.00,"Drafters, All Other",https://www.onetonline.org/link/summary/17-3019.00
Advanced Manufacturing,Engineering; Production & Automation,17-2071.00,Electrical Engineers,https://www.onetonline.org/link/summary/17-2071.00
Advanced Manufacturing,Engineering; Production & Automation,17-2141.01,Fuel Cell Engineers,https://www.onetonline.org/link/summary/17-2141.01
Advanced Manufacturing,Engineering; Production & Automation,51-9071.00,Jewelers and Precious Stone and Metal Workers,https://www.onetonline.org/link/summary/51-9071.00
Advanced Manufacturing,Engineering; Production & Automation,17-3013.00,Mechanical Drafters,https://www.onetonline.org/link/summary/17-3013.00
Advanced Manufacturing,Engineering; Production & Automation,17-2141.00,Mechanical Engineers,https://www.onetonline.org/link/summary/17-2141.00
Advanced Manufacturing,Engineering; Production & Automation,17-2199.05,Mechatronics Engineers,https://www.onetonline.org/link/summary/17-2199.05
Advanced Manufacturing,Engineering; Production & Automation,17-2199.06,Microsystems Engineers,https://www.onetonline.org/link/summary/17-2199.06
Advanced Manufacturing,Engineering; Production & Automation,17-2199.09,Nanosystems Engineers,https://www.onetonline.org/link/summary/17-2199.09
Advanced Manufacturing,Engineering; Production & Automation,17-3026.01,Nanotechnology Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3026.01
Advanced Manufacturing,Engineering; Production & Automation,17-2199.07,Photonics Engineers,https://www.onetonline.org/link/summary/17-2199.07
Advanced Manufacturing,Engineering; Production & Automation,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",https://www.onetonline.org/link/summary/49-9069.00
Advanced Manufacturing,Engineering; Production & Automation,17-2199.08,Robotics Engineers,https://www.onetonline.org/link/summary/17-2199.08
Advanced Manufacturing,Engineering; Production & Automation,51-2041.00,Structural Metal Fabricators and Fitters,https://www.onetonline.org/link/summary/51-2041.00
Advanced Manufacturing,Industrial Machinery,53-7011.00,Conveyor Operators and Tenders,https://www.onetonline.org/link/summary/53-7011.00
Advanced Manufacturing,Industrial Machinery,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4031.00
Advanced Manufacturing,Industrial Machinery,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4032.00
Advanced Manufacturing,Industrial Machinery,51-2031.00,Engine and Other Machine Assemblers,https://www.onetonline.org/link/summary/51-2031.00
Advanced Manufacturing,Industrial Machinery,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4021.00
Advanced Manufacturing,Industrial Machinery,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4022.00
Advanced Manufacturing,Industrial Machinery,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4033.00
Advanced Manufacturing,Industrial Machinery,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4034.00
Advanced Manufacturing,Industrial Machinery,53-7063.00,Machine Feeders and Offbearers,https://www.onetonline.org/link/summary/53-7063.00
Advanced Manufacturing,Industrial Machinery,49-9062.00,Medical Equipment Repairers,https://www.onetonline.org/link/summary/49-9062.00
Advanced Manufacturing,Industrial Machinery,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4035.00
Advanced Manufacturing,Industrial Machinery,51-9151.00,Photographic Process Workers and Processing Machine Operators,https://www.onetonline.org/link/summary/51-9151.00
Advanced Manufacturing,Industrial Machinery,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4023.00
Advanced Manufacturing,Industrial Machinery,51-8021.00,Stationary Engineers and Boiler Operators,https://www.onetonline.org/link/summary/51-8021.00
Advanced Manufacturing,Industrial Machinery; Production & Automation,51-4041.00,Machinists,https://www.onetonline.org/link/summary/51-4041.00
Advanced Manufacturing,Industrial Machinery; Production & Automation; Robotics,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,https://www.onetonline.org/link/summary/17-3024.00
Advanced Manufacturing,Industrial Machinery; Production & Automation; Robotics,17-3024.01,Robotics Technicians,https://www.onetonline.org/link/summary/17-3024.01
Advanced Manufacturing,Production & Automation,51-9191.00,Adhesive Bonding Machine Operators and Tenders,https://www.onetonline.org/link/summary/51-9191.00
Advanced Manufacturing,Production & Automation,51-2099.00,"Assemblers and Fabricators, All Other",https://www.onetonline.org/link/summary/51-2099.00
Advanced Manufacturing,Production & Automation,51-9011.00,Chemical Equipment Operators and Tenders,https://www.onetonline.org/link/summary/51-9011.00
Advanced Manufacturing,Production & Automation,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",https://www.onetonline.org/link/summary/51-9192.00
Advanced Manufacturing,Production & Automation,51-9161.00,Computer Numerically Controlled Tool Operators,https://www.onetonline.org/link/summary/51-9161.00
Advanced Manufacturing,Production & Automation,51-9162.00,Computer Numerically Controlled Tool Programmers,https://www.onetonline.org/link/summary/51-9162.00
Advanced Manufacturing,Production & Automation,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,https://www.onetonline.org/link/summary/51-9193.00
Advanced Manufacturing,Production & Automation,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",https://www.onetonline.org/link/summary/51-9021.00
Advanced Manufacturing,Production & Automation,51-9031.00,"Cutters and Trimmers, Hand",https://www.onetonline.org/link/summary/51-9031.00
Advanced Manufacturing,Production & Automation,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",https://www.onetonline.org/link/summary/51-9032.00
Advanced Manufacturing,Production & Automation,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",https://www.onetonline.org/link/summary/51-6091.00
Advanced Manufacturing,Production & Automation,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",https://www.onetonline.org/link/summary/51-9041.00
Advanced Manufacturing,Production & Automation,51-2051.00,Fiberglass Laminators and Fabricators,https://www.onetonline.org/link/summary/51-2051.00
Advanced Manufacturing,Production & Automation,51-1011.00,First-Line Supervisors of Production and Operating Workers,https://www.onetonline.org/link/summary/51-1011.00
Advanced Manufacturing,Production & Automation,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",https://www.onetonline.org/link/summary/51-3091.00
Advanced Manufacturing,Production & Automation,51-3092.00,Food Batchmakers,https://www.onetonline.org/link/summary/51-3092.00
Advanced Manufacturing,Production & Automation,51-3093.00,Food Cooking Machine Operators and Tenders,https://www.onetonline.org/link/summary/51-3093.00
Advanced Manufacturing,Production & Automation,51-4071.00,Foundry Mold and Coremakers,https://www.onetonline.org/link/summary/51-4071.00
Advanced Manufacturing,Production & Automation,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",https://www.onetonline.org/link/summary/51-9051.00
Advanced Manufacturing,Production & Automation,51-9071.06,Gem and Diamond Workers,https://www.onetonline.org/link/summary/51-9071.06
Advanced Manufacturing,Production & Automation,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",https://www.onetonline.org/link/summary/51-9195.04
Advanced Manufacturing,Production & Automation,51-9022.00,"Grinding and Polishing Workers, Hand",https://www.onetonline.org/link/summary/51-9022.00
Advanced Manufacturing,Production & Automation,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",https://www.onetonline.org/link/summary/51-4191.00
Advanced Manufacturing,Production & Automation,51-9198.00,Helpers--Production Workers,https://www.onetonline.org/link/summary/51-9198.00
Advanced Manufacturing,Production & Automation,51-6011.00,Laundry and Dry-Cleaning Workers,https://www.onetonline.org/link/summary/51-6011.00
Advanced Manufacturing,Production & Automation,51-4192.00,"Layout Workers, Metal and Plastic",https://www.onetonline.org/link/summary/51-4192.00
Advanced Manufacturing,Production & Automation,49-9095.00,Manufactured Building and Mobile Home Installers,https://www.onetonline.org/link/summary/49-9095.00
Advanced Manufacturing,Production & Automation,51-4199.00,"Metal Workers and Plastic Workers, All Other",https://www.onetonline.org/link/summary/51-4199.00
Advanced Manufacturing,Production & Automation,51-4051.00,Metal-Refining Furnace Operators and Tenders,https://www.onetonline.org/link/summary/51-4051.00
Advanced Manufacturing,Production & Automation,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",https://www.onetonline.org/link/summary/51-9023.00
Advanced Manufacturing,Production & Automation,51-4061.00,"Model Makers, Metal and Plastic",https://www.onetonline.org/link/summary/51-4061.00
